session_key,session_date,user_pseudo_id,ga_session_id,ga_session_number,channel_group,source,medium,device_category,country,session_start_ts,session_end_ts,session_duration_seconds,event_count,page_view_events,total_product_views,total_add_to_cart_events,total_begin_checkout_events,total_purchase_events,transaction_count,purchase_revenue_usd,session_engaged_flag,returning_user_flag,bounce_like_session,reached_product_view,reached_add_to_cart,reached_begin_checkout,reached_purchase,converted,funnel_stage
29309966.7198623495.4450402275,2020-11-01,29309966.71986235,4450402275,1,Direct,(direct),(none),desktop,Japan,2020-11-01 06:10:35.560565+00:00,2020-11-01 06:10:42.346014+00:00,6.785449,5,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
7456710.1504033745.3054116520,2020-11-01,7456710.150403375,3054116520,1,Direct,(direct),(none),desktop,Italy,2020-11-01 18:19:21.136812+00:00,2020-11-01 18:19:41.112049+00:00,19.975237,6,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
3651965.0007308360.8611863587,2020-11-01,3651965.000730836,8611863587,1,Direct,(direct),(none),mobile,United States,2020-11-01 00:02:32.447440+00:00,2020-11-01 00:02:34.998019+00:00,2.550579,4,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
71679624.3174963573.7454035089,2020-11-01,71679624.31749636,7454035089,1,Direct,(direct),(none),mobile,United States,2020-11-01 07:06:40.523424+00:00,2020-11-01 07:15:37.602058+00:00,537.078634,23,7,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
85321426.0561924417.6362814096,2020-11-01,85321426.05619244,6362814096,2,Direct,(direct),(none),mobile,Mexico,2020-11-01 19:58:50.315828+00:00,2020-11-01 19:58:50.315828+00:00,0.0,2,1,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,session_start
9184710.5284748870.8733565260,2020-11-01,9184710.528474888,8733565260,1,Direct,(direct),(none),mobile,United States,2020-11-01 14:01:30.437480+00:00,2020-11-01 14:01:30.437480+00:00,0.0,3,1,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,session_start
13457096.3885567165.9120817944,2020-11-01,13457096.388556715,9120817944,1,Direct,(direct),(none),tablet,United States,2020-11-01 18:54:49.851248+00:00,2020-11-01 18:56:36.351136+00:00,106.499888,8,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
3625599.2780622669.4377535248,2020-11-01,3625599.278062267,4377535248,1,Direct,(direct),(none),tablet,Argentina,2020-11-01 22:56:49.934470+00:00,2020-11-01 22:56:54.815800+00:00,4.88133,4,1,1,0,0,0,0,0.0,0,0,1,1,0,0,0,0,product_view
20958024.3004528659.480248244,2020-11-01,20958024.300452866,480248244,1,Organic Search,google,organic,desktop,United States,2020-11-01 10:42:34.096110+00:00,2020-11-01 10:44:35.647460+00:00,121.55135,7,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
6765884.7353713701.1329291455,2020-11-01,6765884.735371371,1329291455,1,Organic Search,google,organic,desktop,United States,2020-11-01 02:34:21.017134+00:00,2020-11-01 02:34:34.137638+00:00,13.120504,11,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,session_start
